Ticker,Status
DVN,AVAILABLE
RHI,AVAILABLE
AET,AVAILABLE
FLR,AVAILABLE
INTU,AVAILABLE
VIAV,AVAILABLE
QLGC,NO_DATA
AMCC,NO_DATA
VTSS,NO_DATA
JBL,AVAILABLE
FTR,NO_DATA
COL,AVAILABLE
CTAS,AVAILABLE
FISV,AVAILABLE
ZION,AVAILABLE
MWW,NO_DATA
EQR,AVAILABLE
WAT,AVAILABLE
ZBH,AVAILABLE
PMCS,NO_DATA
NVDA,AVAILABLE
FDO,NO_DATA
ABC,NO_DATA
PCL,NO_DATA
FHN,AVAILABLE
SPG,AVAILABLE
MWV,NO_DATA
APOL,NO_DATA
PRU,AVAILABLE
UPS,AVAILABLE
PFG,AVAILABLE
DGX,AVAILABLE
RAI,NO_DATA
ANTM,NO_DATA
MON,NO_DATA
EBAY,AVAILABLE
MKC,AVAILABLE
AIV,AVAILABLE
FII,NO_DATA
SYMC,NO_DATA
BIIB,AVAILABLE
ESRX,AVAILABLE
MTB,AVAILABLE
VLO,AVAILABLE
HSP,NO_DATA
MYL,NO_DATA
ETFC,NO_DATA
GILD,AVAILABLE
LLL,NO_DATA
COH,NO_DATA
FOXA,AVAILABLE
NOV,AVAILABLE
SHLD,AVAILABLE
MUR,AVAILABLE
PSA,AVAILABLE
SSP,AVAILABLE
LEN,AVAILABLE
VNO,AVAILABLE
TSN,AVAILABLE
DHI,AVAILABLE
STZ,AVAILABLE
AMP,AVAILABLE
VIAB,NO_DATA
GNW,AVAILABLE
WFT,NO_DATA
PDCO,NO_DATA
WFM,NO_DATA
AMZN,AVAILABLE
VRSN,AVAILABLE
JNPR,NO_DATA
HAR,AVAILABLE
KIM,AVAILABLE
CHK,NO_DATA
SNDK,NO_DATA
BXP,AVAILABLE
CNX,AVAILABLE
GOOGL,AVAILABLE
CELG,NO_DATA
CTSH,AVAILABLE
BTU,AVAILABLE
CBG,NO_DATA
FIS,AVAILABLE
STR,NO_DATA
WYN,NO_DATA
WIN,NO_DATA
TEX,AVAILABLE
IAC,AVAILABLE
CME,AVAILABLE
DTV,NO_DATA
MDLZ,AVAILABLE
PCP,NO_DATA
VAR,NO_DATA
TEG,AVAILABLE
AVB,AVAILABLE
ANF,AVAILABLE
CHRW,AVAILABLE
HCBK,NO_DATA
COV,NO_DATA
SUNE,AVAILABLE
AIZ,AVAILABLE
ESV,NO_DATA
TEL,AVAILABLE
DFS,NO_DATA
DDR,AVAILABLE
GGP,NO_DATA
AMT,AVAILABLE
JEC,NO_DATA
LUK,NO_DATA
NBL,NO_DATA
TSO,NO_DATA
TSS,NO_DATA
GHC,AVAILABLE
EXPD,AVAILABLE
RRC,AVAILABLE
MCHP,AVAILABLE
AKAM,AVAILABLE
GME,AVAILABLE
ICE,AVAILABLE
POM,NO_DATA
TDC,AVAILABLE
EXPE,AVAILABLE
MTW,AVAILABLE
ACAS,NO_DATA
COG,NO_DATA
HCP,NO_DATA
SWN,NO_DATA
CAM,NO_DATA
ISRG,AVAILABLE
AKS,NO_DATA
SNI,NO_DATA
FAST,AVAILABLE
DPS,NO_DATA
EQT,AVAILABLE
SCG,AVAILABLE
SJM,AVAILABLE
WEC,AVAILABLE
FLS,AVAILABLE
PBCT,NO_DATA
XRAY,AVAILABLE
IVZ,AVAILABLE
FLIR,NO_DATA
DVA,AVAILABLE
SRCL,NO_DATA
APH,AVAILABLE
PXD,NO_DATA
RSG,AVAILABLE
NDAQ,AVAILABLE
CRM,AVAILABLE
DNB,NO_DATA
WYNN,AVAILABLE
HRL,AVAILABLE
VTR,AVAILABLE
WDC,AVAILABLE
HCN,NO_DATA
DNR,NO_DATA
ORLY,AVAILABLE
IRM,AVAILABLE
PWR,AVAILABLE
TWC,NO_DATA
FTI,AVAILABLE
TMUS,AVAILABLE
MJN,NO_DATA
ARG,NO_DATA
CLF,AVAILABLE
ROP,AVAILABLE
ROST,AVAILABLE
PCLN,NO_DATA
RHT,NO_DATA
LDOS,AVAILABLE
FSLR,AVAILABLE
CFN,NO_DATA
BRK_B,NO_DATA
CERN,NO_DATA
URBN,AVAILABLE
QEP,NO_DATA
KMX,AVAILABLE
NRG,AVAILABLE
DISCA,NO_DATA
CVC,NO_DATA
NFX,AVAILABLE
FFIV,AVAILABLE
NFLX,AVAILABLE
PLD,AVAILABLE
BLK,AVAILABLE
JOY,NO_DATA
CMG,AVAILABLE
ANRZQ,NO_DATA
MPC,AVAILABLE
DLTR,AVAILABLE
GAS,NO_DATA
PRGO,AVAILABLE
BWA,AVAILABLE
ACN,AVAILABLE
MOS,AVAILABLE
TRIP,AVAILABLE
XYL,AVAILABLE
WPX,NO_DATA
PSX,AVAILABLE
KMI,AVAILABLE
STX,AVAILABLE
FOSL,AVAILABLE
LRCX,AVAILABLE
ALXN,NO_DATA
CCI,AVAILABLE
ABBV,AVAILABLE
PETM,NO_DATA
LYB,AVAILABLE
ADT,AVAILABLE
KRFT,NO_DATA
PNR,AVAILABLE
DLPH,NO_DATA
GRMN,AVAILABLE
ZTS,AVAILABLE
PVH,AVAILABLE
REGN,AVAILABLE
MAC,AVAILABLE
NWSA,AVAILABLE
AME,AVAILABLE
ALLE,AVAILABLE
MHK,AVAILABLE
VRTX,AVAILABLE
DAL,AVAILABLE
KORS,NO_DATA
ADS,NO_DATA
AVGO,AVAILABLE
AMG,AVAILABLE
GOOG,AVAILABLE
TSCO,AVAILABLE
ESS,AVAILABLE
NAVI,AVAILABLE
GMCR,NO_DATA
XEC,NO_DATA
RCL,AVAILABLE
UHS,AVAILABLE
LVLT,NO_DATA
URI,AVAILABLE
MNK,NO_DATA
MLM,AVAILABLE
DISCK,NO_DATA
HCA,AVAILABLE
SLG,AVAILABLE
HBI,NO_DATA
AAL,AVAILABLE
SWKS,AVAILABLE
HSIC,AVAILABLE
MNST,AVAILABLE
JBHT,AVAILABLE
ENDP,NO_DATA
EQIX,AVAILABLE
SPGI,AVAILABLE
